date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2018-07-06,80.3092,81.0343,80.0152,80.6717,7637116,7637116,0.019597,0.024,80.6795,"Jul 6, 18",-0.016557377249027446
2018-07-09,81.1421,81.4507,80.8922,81.2303,7158596,7158596,0.558519,0.692,81.2176,"Jul 9, 18",-0.00974766518062314
2018-07-10,82.0142,82.4257,81.828,81.975,8806167,8806167,0.744693,0.917,82.0838,"Jul 10, 18",-0.0006692681570988567
2018-07-11,81.3576,81.8476,80.3729,80.9265,10405268,10405268,-1.0484,-1.279,81.0025,"Jul 11, 18",-0.013451192796772805
2018-07-12,81.338,81.5634,80.6521,81.0245,9762532,9762532,0.097986,0.121,81.0785,"Jul 12, 18",-0.012256506468982586
2018-07-13,81.0147,82.0631,80.8971,81.632,8721525,8721525,0.607512,0.75,81.632,"Jul 13, 18",-0.00485067030436454
2018-07-16,80.8579,81.1225,80.3484,80.8285,8307109,8307109,-0.803483,-0.984,80.7057,"Jul 16, 18",-0.014645879124563025
2018-07-17,80.6032,81.0833,80.3876,80.6521,7373347,7373347,-0.176375,-0.218,80.7103,"Jul 17, 18",-0.016796314514585457
2018-07-18,80.1524,80.6619,79.8487,80.564,8711884,8711884,-0.088187,-0.109,80.3468,"Jul 18, 18",-0.017870313141915384
2018-07-19,80.5444,80.9559,80.074,80.3582,8659127,8659127,-0.205771,-0.255,80.3813,"Jul 19, 18",-0.02037915443027483
2018-07-20,80.074,80.2829,79.6135,79.7605,9209376,9209376,-0.597714,-0.744,79.8367,"Jul 20, 18",-0.02766552196211387
2018-07-23,80.2994,80.3484,79.5449,79.7605,8425921,8425921,0,0,79.8241,"Jul 23, 18",-0.02766552196211387
2018-07-24,79.8781,81.3478,79.8389,81.338,11120967,11120967,1.5776,1.978,81.0884,"Jul 24, 18",-0.008434729287735374
2018-07-25,81.338,82.0533,80.8481,81.9064,9730668,9730668,0.568318,0.699,81.5303,"Jul 25, 18",-0.0015055485865518895
2018-07-26,82.1415,82.7001,81.6908,82.5433,13210099,13210099,0.636908,0.778,82.3201,"Jul 26, 18",0.006258693476403169
